measure,country,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Argentina,Males,70 to 74,Bipolar disorder,Rate,2019,195.06,325.68,103.17
YLDs (Years Lived with Disability),Argentina,Females,70 to 74,Bipolar disorder,Rate,2019,196.79,318.97,107.42
YLDs (Years Lived with Disability),Argentina,Males,75 to 79,Bipolar disorder,Rate,2019,154.9,259.78,82.65
YLDs (Years Lived with Disability),Argentina,Females,75 to 79,Bipolar disorder,Rate,2019,158.64,257.16,86.99
YLDs (Years Lived with Disability),Argentina,Males,80 to 84,Bipolar disorder,Rate,2019,115.94,193.99,60.67
YLDs (Years Lived with Disability),Argentina,Females,80 to 84,Bipolar disorder,Rate,2019,123.48,205.99,66.76
YLDs (Years Lived with Disability),Argentina,Males,85 to 89,Bipolar disorder,Rate,2019,87.46,148.73,41.7
YLDs (Years Lived with Disability),Argentina,Females,85 to 89,Bipolar disorder,Rate,2019,95.35,159.68,48.53
YLDs (Years Lived with Disability),Argentina,Males,90 to 94,Bipolar disorder,Rate,2019,67.42,116.91,33.83
YLDs (Years Lived with Disability),Argentina,Females,90 to 94,Bipolar disorder,Rate,2019,75.04,133.23,38.86
YLDs (Years Lived with Disability),Argentina,Males,95 plus,Bipolar disorder,Rate,2019,52,93.13,24.36
YLDs (Years Lived with Disability),Argentina,Females,95 plus,Bipolar disorder,Rate,2019,59.72,103.09,28.85
YLDs (Years Lived with Disability),Argentina,Males,10 to 14,Anxiety disorders,Rate,2019,411.81,654.11,246.42
YLDs (Years Lived with Disability),Argentina,Females,10 to 14,Anxiety disorders,Rate,2019,585.75,905.34,350.49
YLDs (Years Lived with Disability),Argentina,Males,15 to 19,Anxiety disorders,Rate,2019,478.15,697.33,303.78
YLDs (Years Lived with Disability),Argentina,Females,15 to 19,Anxiety disorders,Rate,2019,744.15,1067.34,473.67
YLDs (Years Lived with Disability),Argentina,Males,20 to 24,Anxiety disorders,Rate,2019,442.41,645.44,286.15
YLDs (Years Lived with Disability),Argentina,Females,20 to 24,Anxiety disorders,Rate,2019,773.48,1090.3,523.9
YLDs (Years Lived with Disability),Argentina,Males,25 to 29,Anxiety disorders,Rate,2019,422.14,631.91,268.23
YLDs (Years Lived with Disability),Argentina,Females,25 to 29,Anxiety disorders,Rate,2019,787.32,1126.3,535.4
YLDs (Years Lived with Disability),Argentina,Males,30 to 34,Anxiety disorders,Rate,2019,427.76,639.85,285.75
YLDs (Years Lived with Disability),Argentina,Females,30 to 34,Anxiety disorders,Rate,2019,806.87,1121.46,548.43
YLDs (Years Lived with Disability),Argentina,Males,35 to 39,Anxiety disorders,Rate,2019,440.75,642.28,298.55
YLDs (Years Lived with Disability),Argentina,Females,35 to 39,Anxiety disorders,Rate,2019,824.44,1140.66,568.73
YLDs (Years Lived with Disability),Argentina,Males,40 to 44,Anxiety disorders,Rate,2019,451.7,643.29,297.96
YLDs (Years Lived with Disability),Argentina,Females,40 to 44,Anxiety disorders,Rate,2019,839.33,1155.54,590.67
YLDs (Years Lived with Disability),Argentina,Males,45 to 49,Anxiety disorders,Rate,2019,434.05,620.33,289.03
YLDs (Years Lived with Disability),Argentina,Females,45 to 49,Anxiety disorders,Rate,2019,811.55,1132.19,561.23
YLDs (Years Lived with Disability),Argentina,Males,50 to 54,Anxiety disorders,Rate,2019,399.27,571.29,261.14
YLDs (Years Lived with Disability),Argentina,Females,50 to 54,Anxiety disorders,Rate,2019,762.75,1059.7,525.15
YLDs (Years Lived with Disability),Argentina,Males,55 to 59,Anxiety disorders,Rate,2019,357.61,504.66,240.62
YLDs (Years Lived with Disability),Argentina,Females,55 to 59,Anxiety disorders,Rate,2019,694.26,954.08,477.86
YLDs (Years Lived with Disability),Argentina,Males,60 to 64,Anxiety disorders,Rate,2019,315,467.64,196.74
YLDs (Years Lived with Disability),Argentina,Females,60 to 64,Anxiety disorders,Rate,2019,619.52,863.55,418.41
YLDs (Years Lived with Disability),Argentina,Males,65 to 69,Anxiety disorders,Rate,2019,285.75,424.47,180.44
YLDs (Years Lived with Disability),Argentina,Females,65 to 69,Anxiety disorders,Rate,2019,562.4,808.65,377.87
YLDs (Years Lived with Disability),Argentina,Males,70 to 74,Anxiety disorders,Rate,2019,264.47,393.88,166.1
YLDs (Years Lived with Disability),Argentina,Females,70 to 74,Anxiety disorders,Rate,2019,515.93,727.49,336.67
YLDs (Years Lived with Disability),Argentina,Males,75 to 79,Anxiety disorders,Rate,2019,246.02,362.21,154.02
YLDs (Years Lived with Disability),Argentina,Females,75 to 79,Anxiety disorders,Rate,2019,474.11,686.46,313.93
YLLs (Years of Life Lost),Argentina,Males,10 to 14,Self-harm,Rate,2019,127.24,179.91,84.71
YLLs (Years of Life Lost),Argentina,Females,10 to 14,Self-harm,Rate,2019,98.35,133.93,69.12
YLLs (Years of Life Lost),Argentina,Males,15 to 19,Self-harm,Rate,2019,1482.8,1824.42,1161.2
YLLs (Years of Life Lost),Argentina,Females,15 to 19,Self-harm,Rate,2019,469.32,582.86,369.74
YLLs (Years of Life Lost),Argentina,Males,20 to 24,Self-harm,Rate,2019,2085.2,2512.39,1703.09
YLLs (Years of Life Lost),Argentina,Females,20 to 24,Self-harm,Rate,2019,398.62,487.39,314.96
YLLs (Years of Life Lost),Argentina,Males,25 to 29,Self-harm,Rate,2019,1600.55,1941.78,1303.36
YLLs (Years of Life Lost),Argentina,Females,25 to 29,Self-harm,Rate,2019,306.8,388.69,238.7
YLLs (Years of Life Lost),Argentina,Males,30 to 34,Self-harm,Rate,2019,1309.96,1596.49,1066.2
YLLs (Years of Life Lost),Argentina,Females,30 to 34,Self-harm,Rate,2019,260.63,325.53,204.92
YLLs (Years of Life Lost),Argentina,Males,35 to 39,Self-harm,Rate,2019,1093.14,1331.52,882.7
YLLs (Years of Life Lost),Argentina,Females,35 to 39,Self-harm,Rate,2019,237.58,292.53,189.18
YLLs (Years of Life Lost),Argentina,Males,40 to 44,Self-harm,Rate,2019,915.59,1131.45,723.79
YLLs (Years of Life Lost),Argentina,Females,40 to 44,Self-harm,Rate,2019,220.2,278.71,173.3
YLLs (Years of Life Lost),Argentina,Males,45 to 49,Self-harm,Rate,2019,819.31,1024.8,644.93
YLLs (Years of Life Lost),Argentina,Females,45 to 49,Self-harm,Rate,2019,222.67,276.28,174.64
YLLs (Years of Life Lost),Argentina,Males,50 to 54,Self-harm,Rate,2019,729.7,893.92,569.3
YLLs (Years of Life Lost),Argentina,Females,50 to 54,Self-harm,Rate,2019,203.01,257,159.5
YLLs (Years of Life Lost),Argentina,Males,55 to 59,Self-harm,Rate,2019,686.44,851.26,541.82
YLLs (Years of Life Lost),Argentina,Females,55 to 59,Self-harm,Rate,2019,194.02,243.39,152.15
YLLs (Years of Life Lost),Argentina,Males,60 to 64,Self-harm,Rate,2019,651.2,804.04,516.71
YLLs (Years of Life Lost),Argentina,Females,60 to 64,Self-harm,Rate,2019,154.14,196.32,118.34
YLLs (Years of Life Lost),Argentina,Males,65 to 69,Self-harm,Rate,2019,607.88,749.41,486.48
YLLs (Years of Life Lost),Argentina,Females,65 to 69,Self-harm,Rate,2019,126.4,160.26,97.46
YLLs (Years of Life Lost),Argentina,Males,70 to 74,Self-harm,Rate,2019,513.2,639.85,412.5
YLLs (Years of Life Lost),Argentina,Females,70 to 74,Self-harm,Rate,2019,97.75,125.19,73.11
YLLs (Years of Life Lost),Argentina,Males,75 to 79,Self-harm,Rate,2019,532.97,668.31,421.25
YLLs (Years of Life Lost),Argentina,Females,75 to 79,Self-harm,Rate,2019,85.23,112.37,64.6
YLLs (Years of Life Lost),Argentina,Males,80 to 84,Self-harm,Rate,2019,530.24,664.88,424.26
YLLs (Years of Life Lost),Argentina,Females,80 to 84,Self-harm,Rate,2019,69.12,88.73,53.8
YLLs (Years of Life Lost),Argentina,Males,85 to 89,Self-harm,Rate,2019,513.17,658.03,398.24
YLLs (Years of Life Lost),Argentina,Females,85 to 89,Self-harm,Rate,2019,57.67,73.08,43.81
YLLs (Years of Life Lost),Argentina,Males,90 to 94,Self-harm,Rate,2019,366.62,453.34,286.4
YLLs (Years of Life Lost),Argentina,Females,90 to 94,Self-harm,Rate,2019,37.2,46.58,27.92
YLLs (Years of Life Lost),Argentina,Males,95 plus,Self-harm,Rate,2019,333.5,414.54,245.84
YLLs (Years of Life Lost),Argentina,Females,95 plus,Self-harm,Rate,2019,41.18,51.87,30.39
YLLs (Years of Life Lost),Argentina,Males,10 to 14,All causes,Rate,2019,1975.96,2036.1,1916.8
YLLs (Years of Life Lost),Argentina,Females,10 to 14,All causes,Rate,2019,1458.83,1482.83,1436.55
YLLs (Years of Life Lost),Argentina,Males,15 to 19,All causes,Rate,2019,6768.17,6947.03,6594.34
YLLs (Years of Life Lost),Argentina,Females,15 to 19,All causes,Rate,2019,2804.04,2849.62,2760.5
YLLs (Years of Life Lost),Argentina,Males,20 to 24,All causes,Rate,2019,9280.82,9439.24,9131.99
YLLs (Years of Life Lost),Argentina,Females,20 to 24,All causes,Rate,2019,3207.44,3278.37,3141.08
YLLs (Years of Life Lost),Argentina,Males,25 to 29,All causes,Rate,2019,8501.9,8616.93,8393.92
YLLs (Years of Life Lost),Argentina,Females,25 to 29,All causes,Rate,2019,3362.4,3446.14,3284.07
YLLs (Years of Life Lost),Argentina,Males,30 to 34,All causes,Rate,2019,8631.56,8753.04,8517.58
YLLs (Years of Life Lost),Argentina,Females,30 to 34,All causes,Rate,2019,4126.95,4225.14,4035.46
YLLs (Years of Life Lost),Argentina,Males,35 to 39,All causes,Rate,2019,9579.87,9741.51,9429.23
YLLs (Years of Life Lost),Argentina,Females,35 to 39,All causes,Rate,2019,5432.65,5560.32,5314.02
YLLs (Years of Life Lost),Argentina,Males,40 to 44,All causes,Rate,2019,11817.49,12051.28,11598.86
YLLs (Years of Life Lost),Argentina,Females,40 to 44,All causes,Rate,2019,7123.05,7284.74,6971.86
YLLs (Years of Life Lost),Argentina,Males,45 to 49,All causes,Rate,2019,16792.81,17171.15,16439.81
YLLs (Years of Life Lost),Argentina,Females,45 to 49,All causes,Rate,2019,10041.08,10269.86,9826.93
YLLs (Years of Life Lost),Argentina,Males,50 to 54,All causes,Rate,2019,24602.73,25172.96,24069.9
YLLs (Years of Life Lost),Argentina,Females,50 to 54,All causes,Rate,2019,13972.12,14290.41,13675.09
YLLs (Years of Life Lost),Argentina,Males,55 to 59,All causes,Rate,2019,35187.02,36005.77,34420.7
YLLs (Years of Life Lost),Argentina,Females,55 to 59,All causes,Rate,2019,18926.15,19347.2,18533.48
YLLs (Years of Life Lost),Argentina,Males,60 to 64,All causes,Rate,2019,48074.81,49113.02,47105.26
YLLs (Years of Life Lost),Argentina,Females,60 to 64,All causes,Rate,2019,25648.52,26172.29,25160.5
YLLs (Years of Life Lost),Argentina,Males,65 to 69,All causes,Rate,2019,62086.14,63343.8,60911.59
YLLs (Years of Life Lost),Argentina,Females,65 to 69,All causes,Rate,2019,32540.65,33135.82,31987.79
YLLs (Years of Life Lost),Argentina,Males,70 to 74,All causes,Rate,2019,76421.13,77875.86,75060.25
YLLs (Years of Life Lost),Argentina,Females,70 to 74,All causes,Rate,2019,41357.4,42075.37,40687.87
YLLs (Years of Life Lost),Argentina,Males,75 to 79,All causes,Rate,2019,92119.79,93716.28,90620.08
YLLs (Years of Life Lost),Argentina,Females,75 to 79,All causes,Rate,2019,54693.86,55601.24,53844.84
YLLs (Years of Life Lost),Argentina,Males,80 to 84,All causes,Rate,2019,113502.27,115194.99,111907.14
YLLs (Years of Life Lost),Argentina,Females,80 to 84,All causes,Rate,2019,75951.44,77055.43,74914.86
YLLs (Years of Life Lost),Argentina,Males,85 to 89,All causes,Rate,2019,136953.24,138486.2,135491.31
YLLs (Years of Life Lost),Argentina,Females,85 to 89,All causes,Rate,2019,104892.44,106370.66,103498.87
YLLs (Years of Life Lost),Argentina,Males,90 to 94,All causes,Rate,2019,146245.99,147656.91,144898.61
YLLs (Years of Life Lost),Argentina,Females,90 to 94,All causes,Rate,2019,134085.64,135619.63,132643.39
YLLs (Years of Life Lost),Argentina,Males,95 plus,All causes,Rate,2019,160153.03,161292.18,159052.98
YLLs (Years of Life Lost),Argentina,Females,95 plus,All causes,Rate,2019,167154.42,168489.41,165888.79
DALYs (Disability-Adjusted Life Years),Argentina,Males,10 to 14,Self-harm,Rate,2019,127.94,180.68,85.27
DALYs (Disability-Adjusted Life Years),Argentina,Females,10 to 14,Self-harm,Rate,2019,100.22,136,70.8
DALYs (Disability-Adjusted Life Years),Argentina,Males,15 to 19,Self-harm,Rate,2019,1487.8,1829.54,1166.58
DALYs (Disability-Adjusted Life Years),Argentina,Females,15 to 19,Self-harm,Rate,2019,477.47,590.92,380.2
DALYs (Disability-Adjusted Life Years),Argentina,Males,20 to 24,Self-harm,Rate,2019,2099.23,2525.04,1719.62
DALYs (Disability-Adjusted Life Years),Argentina,Females,20 to 24,Self-harm,Rate,2019,413.94,503.03,329.08
DALYs (Disability-Adjusted Life Years),Argentina,Males,25 to 29,Self-harm,Rate,2019,1620.36,1966.7,1325.77
DALYs (Disability-Adjusted Life Years),Argentina,Females,25 to 29,Self-harm,Rate,2019,326.12,407.92,257.99
DALYs (Disability-Adjusted Life Years),Argentina,Males,30 to 34,Self-harm,Rate,2019,1334,1617.88,1089.57
DALYs (Disability-Adjusted Life Years),Argentina,Females,30 to 34,Self-harm,Rate,2019,282.83,347.15,226.07
DALYs (Disability-Adjusted Life Years),Argentina,Males,35 to 39,Self-harm,Rate,2019,1120.37,1361.71,909.17
DALYs (Disability-Adjusted Life Years),Argentina,Females,35 to 39,Self-harm,Rate,2019,262,316.65,213.19
DALYs (Disability-Adjusted Life Years),Argentina,Males,40 to 44,Self-harm,Rate,2019,944.85,1158.19,753.35
DALYs (Disability-Adjusted Life Years),Argentina,Females,40 to 44,Self-harm,Rate,2019,246.63,304.48,197.38
DALYs (Disability-Adjusted Life Years),Argentina,Males,45 to 49,Self-harm,Rate,2019,850.22,1052.07,675.32
DALYs (Disability-Adjusted Life Years),Argentina,Females,45 to 49,Self-harm,Rate,2019,250.91,306.78,201.3
DALYs (Disability-Adjusted Life Years),Argentina,Males,50 to 54,Self-harm,Rate,2019,761.04,923.67,600.4
DALYs (Disability-Adjusted Life Years),Argentina,Females,50 to 54,Self-harm,Rate,2019,232.45,283.57,186.52
DALYs (Disability-Adjusted Life Years),Argentina,Males,55 to 59,Self-harm,Rate,2019,717.31,884.09,572.31
DALYs (Disability-Adjusted Life Years),Argentina,Females,55 to 59,Self-harm,Rate,2019,224.03,275.43,179.18
DALYs (Disability-Adjusted Life Years),Argentina,Males,60 to 64,Self-harm,Rate,2019,680.92,835.91,545.29
DALYs (Disability-Adjusted Life Years),Argentina,Females,60 to 64,Self-harm,Rate,2019,183.91,226.81,148.6
DALYs (Disability-Adjusted Life Years),Argentina,Males,65 to 69,Self-harm,Rate,2019,636.11,780.81,513.72
DALYs (Disability-Adjusted Life Years),Argentina,Females,65 to 69,Self-harm,Rate,2019,155.19,190.61,125.43
DALYs (Disability-Adjusted Life Years),Argentina,Males,70 to 74,Self-harm,Rate,2019,539.38,665.2,439.11
DALYs (Disability-Adjusted Life Years),Argentina,Females,70 to 74,Self-harm,Rate,2019,124.8,152.1,98.83
DALYs (Disability-Adjusted Life Years),Argentina,Males,75 to 79,Self-harm,Rate,2019,557.5,695.92,447.17
DALYs (Disability-Adjusted Life Years),Argentina,Females,75 to 79,Self-harm,Rate,2019,110.36,138.63,88.89
DALYs (Disability-Adjusted Life Years),Argentina,Males,80 to 84,Self-harm,Rate,2019,554.18,689.7,445.84
DALYs (Disability-Adjusted Life Years),Argentina,Females,80 to 84,Self-harm,Rate,2019,92.43,114.13,74.6
DALYs (Disability-Adjusted Life Years),Argentina,Males,85 to 89,Self-harm,Rate,2019,536.44,682.93,422.21
DALYs (Disability-Adjusted Life Years),Argentina,Females,85 to 89,Self-harm,Rate,2019,79.07,95.29,63.76
DALYs (Disability-Adjusted Life Years),Argentina,Males,90 to 94,Self-harm,Rate,2019,389.63,476.49,309.74
DALYs (Disability-Adjusted Life Years),Argentina,Females,90 to 94,Self-harm,Rate,2019,57.34,69.24,46.36
DALYs (Disability-Adjusted Life Years),Argentina,Males,95 plus,Self-harm,Rate,2019,356.42,436.44,273.54
DALYs (Disability-Adjusted Life Years),Argentina,Females,95 plus,Self-harm,Rate,2019,60.61,72.95,49.11
DALYs (Disability-Adjusted Life Years),Argentina,Males,10 to 14,Major depressive disorder,Rate,2019,113.44,212.23,51.21
DALYs (Disability-Adjusted Life Years),Argentina,Females,10 to 14,Major depressive disorder,Rate,2019,267.68,493.28,128.73
DALYs (Disability-Adjusted Life Years),Argentina,Males,15 to 19,Major depressive disorder,Rate,2019,337.99,550.81,197.97
DALYs (Disability-Adjusted Life Years),Argentina,Females,15 to 19,Major depressive disorder,Rate,2019,689.68,1085.76,416.18
DALYs (Disability-Adjusted Life Years),Argentina,Males,20 to 24,Major depressive disorder,Rate,2019,476.04,753.33,278
DALYs (Disability-Adjusted Life Years),Argentina,Females,20 to 24,Major depressive disorder,Rate,2019,792.26,1198.42,477.42
DALYs (Disability-Adjusted Life Years),Argentina,Males,25 to 29,Major depressive disorder,Rate,2019,405.74,593.19,250.03
DALYs (Disability-Adjusted Life Years),Argentina,Females,25 to 29,Major depressive disorder,Rate,2019,649.93,946.17,404.7
DALYs (Disability-Adjusted Life Years),Argentina,Males,30 to 34,Major depressive disorder,Rate,2019,355.92,550.46,214.71
DALYs (Disability-Adjusted Life Years),Argentina,Females,30 to 34,Major depressive disorder,Rate,2019,567.06,844.97,351.27
DALYs (Disability-Adjusted Life Years),Argentina,Males,35 to 39,Major depressive disorder,Rate,2019,349.03,505.05,221.89
DALYs (Disability-Adjusted Life Years),Argentina,Females,35 to 39,Major depressive disorder,Rate,2019,592.43,846.99,381.59
DALYs (Disability-Adjusted Life Years),Argentina,Males,40 to 44,Major depressive disorder,Rate,2019,344.67,518.81,211.24
DALYs (Disability-Adjusted Life Years),Argentina,Females,40 to 44,Major depressive disorder,Rate,2019,604.23,882.89,378.97
DALYs (Disability-Adjusted Life Years),Argentina,Males,45 to 49,Major depressive disorder,Rate,2019,341.97,505.19,219.22
DALYs (Disability-Adjusted Life Years),Argentina,Females,45 to 49,Major depressive disorder,Rate,2019,588.83,846.13,386.18
DALYs (Disability-Adjusted Life Years),Argentina,Males,50 to 54,Major depressive disorder,Rate,2019,338.37,489.31,219.71
DALYs (Disability-Adjusted Life Years),Argentina,Females,50 to 54,Major depressive disorder,Rate,2019,570.96,806.76,374.82
DALYs (Disability-Adjusted Life Years),Argentina,Males,55 to 59,Major depressive disorder,Rate,2019,333.34,499.83,203.88
DALYs (Disability-Adjusted Life Years),Argentina,Females,55 to 59,Major depressive disorder,Rate,2019,554.55,822.36,342.93
DALYs (Disability-Adjusted Life Years),Argentina,Males,60 to 64,Major depressive disorder,Rate,2019,332.51,502.72,205.65
DALYs (Disability-Adjusted Life Years),Argentina,Females,60 to 64,Major depressive disorder,Rate,2019,530.49,791.89,332.81
DALYs (Disability-Adjusted Life Years),Argentina,Males,65 to 69,Major depressive disorder,Rate,2019,335.22,478.73,218.17
DALYs (Disability-Adjusted Life Years),Argentina,Females,65 to 69,Major depressive disorder,Rate,2019,506.27,725.15,334.68
DALYs (Disability-Adjusted Life Years),Argentina,Males,70 to 74,Major depressive disorder,Rate,2019,337.85,498.92,216.84
DALYs (Disability-Adjusted Life Years),Argentina,Females,70 to 74,Major depressive disorder,Rate,2019,480.55,687.74,321.35
DALYs (Disability-Adjusted Life Years),Argentina,Males,75 to 79,Major depressive disorder,Rate,2019,341.09,521.61,209.18
DALYs (Disability-Adjusted Life Years),Argentina,Females,75 to 79,Major depressive disorder,Rate,2019,456.6,684.54,277.87
DALYs (Disability-Adjusted Life Years),Argentina,Males,80 to 84,Major depressive disorder,Rate,2019,342.3,533.09,205.71
DALYs (Disability-Adjusted Life Years),Argentina,Females,80 to 84,Major depressive disorder,Rate,2019,453.44,674.97,274.29
DALYs (Disability-Adjusted Life Years),Argentina,Males,85 to 89,Major depressive disorder,Rate,2019,346.49,507.89,218.58
DALYs (Disability-Adjusted Life Years),Argentina,Females,85 to 89,Major depressive disorder,Rate,2019,485.04,712.79,308.73
DALYs (Disability-Adjusted Life Years),Argentina,Males,90 to 94,Major depressive disorder,Rate,2019,351.94,543.23,211.06
DALYs (Disability-Adjusted Life Years),Argentina,Females,90 to 94,Major depressive disorder,Rate,2019,516.48,766.95,302.2
DALYs (Disability-Adjusted Life Years),Argentina,Males,95 plus,Major depressive disorder,Rate,2019,354.51,602.14,180.03
DALYs (Disability-Adjusted Life Years),Argentina,Females,95 plus,Major depressive disorder,Rate,2019,545.71,892.72,283.4
DALYs (Disability-Adjusted Life Years),Argentina,Males,10 to 14,Bipolar disorder,Rate,2019,109.59,198.18,49.05
DALYs (Disability-Adjusted Life Years),Argentina,Females,10 to 14,Bipolar disorder,Rate,2019,72.12,131.44,31.47
DALYs (Disability-Adjusted Life Years),Argentina,Males,15 to 19,Bipolar disorder,Rate,2019,358.86,627.28,170.93
DALYs (Disability-Adjusted Life Years),Argentina,Females,15 to 19,Bipolar disorder,Rate,2019,265.18,469.94,127.08
DALYs (Disability-Adjusted Life Years),Argentina,Males,20 to 24,Bipolar disorder,Rate,2019,364.09,607.69,190.33
DALYs (Disability-Adjusted Life Years),Argentina,Females,20 to 24,Bipolar disorder,Rate,2019,340.17,574.48,170.7
DALYs (Disability-Adjusted Life Years),Argentina,Males,25 to 29,Bipolar disorder,Rate,2019,318.92,535.78,166.25
DALYs (Disability-Adjusted Life Years),Argentina,Females,25 to 29,Bipolar disorder,Rate,2019,354.74,598.19,186.38
DALYs (Disability-Adjusted Life Years),Argentina,Males,30 to 34,Bipolar disorder,Rate,2019,290.75,472.38,154.36
DALYs (Disability-Adjusted Life Years),Argentina,Females,30 to 34,Bipolar disorder,Rate,2019,351.91,584.06,184.85
DALYs (Disability-Adjusted Life Years),Argentina,Males,35 to 39,Bipolar disorder,Rate,2019,285.26,464.55,155.35
DALYs (Disability-Adjusted Life Years),Argentina,Females,35 to 39,Bipolar disorder,Rate,2019,353.99,586.87,192.48
DALYs (Disability-Adjusted Life Years),Argentina,Males,40 to 44,Bipolar disorder,Rate,2019,292.48,477.57,159.89
DALYs (Disability-Adjusted Life Years),Argentina,Females,40 to 44,Bipolar disorder,Rate,2019,358.21,577.32,195.62
DALYs (Disability-Adjusted Life Years),Argentina,Males,45 to 49,Bipolar disorder,Rate,2019,293.63,475.31,164.1
DALYs (Disability-Adjusted Life Years),Argentina,Females,45 to 49,Bipolar disorder,Rate,2019,355.33,569.91,201.73
DALYs (Disability-Adjusted Life Years),Argentina,Males,50 to 54,Bipolar disorder,Rate,2019,287.25,484.08,157.7
DALYs (Disability-Adjusted Life Years),Argentina,Females,50 to 54,Bipolar disorder,Rate,2019,340.44,550.53,186.82
DALYs (Disability-Adjusted Life Years),Argentina,Males,55 to 59,Bipolar disorder,Rate,2019,273.78,456.62,154.13
DALYs (Disability-Adjusted Life Years),Argentina,Females,55 to 59,Bipolar disorder,Rate,2019,311.79,513.1,175.68
DALYs (Disability-Adjusted Life Years),Argentina,Males,60 to 64,Bipolar disorder,Rate,2019,258.27,419.52,143.72
DALYs (Disability-Adjusted Life Years),Argentina,Females,60 to 64,Bipolar disorder,Rate,2019,276.17,448.01,154.03
DALYs (Disability-Adjusted Life Years),Argentina,Males,65 to 69,Bipolar disorder,Rate,2019,228.67,376.78,125.76
DALYs (Disability-Adjusted Life Years),Argentina,Females,65 to 69,Bipolar disorder,Rate,2019,238.21,382.73,131.51
DALYs (Disability-Adjusted Life Years),Argentina,Males,70 to 74,Bipolar disorder,Rate,2019,195.06,325.68,103.17
DALYs (Disability-Adjusted Life Years),Argentina,Females,70 to 74,Bipolar disorder,Rate,2019,196.79,318.97,107.42
DALYs (Disability-Adjusted Life Years),Argentina,Males,75 to 79,Bipolar disorder,Rate,2019,154.9,259.78,82.65
DALYs (Disability-Adjusted Life Years),Argentina,Females,75 to 79,Bipolar disorder,Rate,2019,158.64,257.16,86.99
DALYs (Disability-Adjusted Life Years),Argentina,Males,80 to 84,Bipolar disorder,Rate,2019,115.94,193.99,60.67
DALYs (Disability-Adjusted Life Years),Argentina,Females,80 to 84,Bipolar disorder,Rate,2019,123.48,205.99,66.76
DALYs (Disability-Adjusted Life Years),Argentina,Males,85 to 89,Bipolar disorder,Rate,2019,87.46,148.73,41.7
DALYs (Disability-Adjusted Life Years),Argentina,Females,85 to 89,Bipolar disorder,Rate,2019,95.35,159.68,48.53
DALYs (Disability-Adjusted Life Years),Argentina,Males,90 to 94,Bipolar disorder,Rate,2019,67.42,116.91,33.83
DALYs (Disability-Adjusted Life Years),Argentina,Females,90 to 94,Bipolar disorder,Rate,2019,75.04,133.23,38.86
DALYs (Disability-Adjusted Life Years),Argentina,Males,95 plus,Bipolar disorder,Rate,2019,52,93.13,24.36
DALYs (Disability-Adjusted Life Years),Argentina,Females,95 plus,Bipolar disorder,Rate,2019,59.72,103.09,28.85
DALYs (Disability-Adjusted Life Years),Argentina,Males,10 to 14,Anxiety disorders,Rate,2019,411.81,654.11,246.42
DALYs (Disability-Adjusted Life Years),Argentina,Females,10 to 14,Anxiety disorders,Rate,2019,585.75,905.34,350.49
DALYs (Disability-Adjusted Life Years),Argentina,Males,15 to 19,Anxiety disorders,Rate,2019,478.15,697.33,303.78
DALYs (Disability-Adjusted Life Years),Argentina,Females,15 to 19,Anxiety disorders,Rate,2019,744.15,1067.34,473.67
DALYs (Disability-Adjusted Life Years),Argentina,Males,20 to 24,Anxiety disorders,Rate,2019,442.41,645.44,286.15
DALYs (Disability-Adjusted Life Years),Argentina,Females,20 to 24,Anxiety disorders,Rate,2019,773.48,1090.3,523.9
DALYs (Disability-Adjusted Life Years),Argentina,Males,25 to 29,Anxiety disorders,Rate,2019,422.14,631.91,268.23
DALYs (Disability-Adjusted Life Years),Argentina,Females,25 to 29,Anxiety disorders,Rate,2019,787.32,1126.3,535.4
DALYs (Disability-Adjusted Life Years),Argentina,Males,30 to 34,Anxiety disorders,Rate,2019,427.76,639.85,285.75
DALYs (Disability-Adjusted Life Years),Argentina,Females,30 to 34,Anxiety disorders,Rate,2019,806.87,1121.46,548.43
DALYs (Disability-Adjusted Life Years),Argentina,Males,35 to 39,Anxiety disorders,Rate,2019,440.75,642.28,298.55
DALYs (Disability-Adjusted Life Years),Argentina,Females,35 to 39,Anxiety disorders,Rate,2019,824.44,1140.66,568.73
DALYs (Disability-Adjusted Life Years),Argentina,Males,40 to 44,Anxiety disorders,Rate,2019,451.7,643.29,297.96
DALYs (Disability-Adjusted Life Years),Argentina,Females,40 to 44,Anxiety disorders,Rate,2019,839.33,1155.54,590.67
DALYs (Disability-Adjusted Life Years),Argentina,Males,45 to 49,Anxiety disorders,Rate,2019,434.05,620.33,289.03
DALYs (Disability-Adjusted Life Years),Argentina,Females,45 to 49,Anxiety disorders,Rate,2019,811.55,1132.19,561.23
DALYs (Disability-Adjusted Life Years),Argentina,Males,50 to 54,Anxiety disorders,Rate,2019,399.27,571.29,261.14
DALYs (Disability-Adjusted Life Years),Argentina,Females,50 to 54,Anxiety disorders,Rate,2019,762.75,1059.7,525.15
DALYs (Disability-Adjusted Life Years),Argentina,Males,55 to 59,Anxiety disorders,Rate,2019,357.61,504.66,240.62
DALYs (Disability-Adjusted Life Years),Argentina,Females,55 to 59,Anxiety disorders,Rate,2019,694.26,954.08,477.86
DALYs (Disability-Adjusted Life Years),Argentina,Males,60 to 64,Anxiety disorders,Rate,2019,315,467.64,196.74
DALYs (Disability-Adjusted Life Years),Argentina,Females,60 to 64,Anxiety disorders,Rate,2019,619.52,863.55,418.41
