measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Costa Rica,Female,10 to 14,Self-harm,Number,2019,1.4741060737358251,2.2302763649786765,0.9548598399294341
Deaths,Costa Rica,Male,10 to 14,Self-harm,Percent,2019,0.05216713938876105,0.07557689793025227,0.03453995236854268
Deaths,Costa Rica,Female,10 to 14,Self-harm,Percent,2019,0.04911655023317273,0.06988047369703008,0.0330972188985833
Deaths,Costa Rica,Male,10 to 14,Self-harm,Rate,2019,1.3043904123959071,2.0502712075376612,0.8203492531323641
Deaths,Costa Rica,Female,10 to 14,Self-harm,Rate,2019,0.8298982874944468,1.2556101415717003,0.5375709116687836
Deaths,Costa Rica,Male,15 to 19,Self-harm,Number,2019,20.461266294070604,28.578361470256713,14.07136943500723
Deaths,Costa Rica,Female,15 to 19,Self-harm,Number,2019,5.10040239616181,7.084995712561064,3.5099265615981237
Deaths,Costa Rica,Male,15 to 19,Self-harm,Percent,2019,0.12883067819947094,0.16276937519992327,0.09909192495588633
Deaths,Costa Rica,Female,15 to 19,Self-harm,Percent,2019,0.1116221187169896,0.1460679322994339,0.08182852234602138
Deaths,Costa Rica,Male,15 to 19,Self-harm,Rate,2019,11.308911257371587,15.79521761279632,7.777224826808571
Deaths,Costa Rica,Female,15 to 19,Self-harm,Rate,2019,2.8206852873811044,3.918228723015678,1.9411013961444084
Deaths,Costa Rica,Male,20 to 24,Self-harm,Number,2019,37.54667342803646,49.83314661644007,26.178334945718472
Deaths,Costa Rica,Female,20 to 24,Self-harm,Number,2019,7.510468898686386,10.845192787836352,4.930889396107908
Deaths,Costa Rica,Male,20 to 24,Self-harm,Percent,2019,0.12835413082086847,0.16119476280606276,0.09673453394317497
Deaths,Costa Rica,Female,20 to 24,Self-harm,Percent,2019,0.09266678014375726,0.11677720921312162,0.06991500314133264
Deaths,Costa Rica,Male,20 to 24,Self-harm,Rate,2019,19.232816672240013,25.526409813956473,13.409526619195551
Deaths,Costa Rica,Female,20 to 24,Self-harm,Rate,2019,3.731500013143495,5.388323628826055,2.4498621982981565
Deaths,Costa Rica,Male,25 to 29,Self-harm,Number,2019,39.62356265985522,52.49875265488075,29.39045643551373
Deaths,Costa Rica,Female,25 to 29,Self-harm,Number,2019,6.745758714075689,9.952570763401958,4.24938022223067
Deaths,Costa Rica,Male,25 to 29,Self-harm,Percent,2019,0.11898887685783857,0.14813883943518635,0.09444305531418082
Deaths,Costa Rica,Female,25 to 29,Self-harm,Percent,2019,0.06720451697892199,0.08650625156594435,0.049533607887481866
Deaths,Costa Rica,Male,25 to 29,Self-harm,Rate,2019,20.276841737965768,26.86555240279136,15.040183005887917
Deaths,Costa Rica,Female,25 to 29,Self-harm,Rate,2019,3.2418016750198295,4.782895733318669,2.0421198720729916
Deaths,Costa Rica,Male,30 to 34,Self-harm,Number,2019,41.505782844643285,55.01769860029985,30.690278614297753
Deaths,Costa Rica,Female,30 to 34,Self-harm,Number,2019,6.509793230982833,9.25601488660755,4.21896876658253
Deaths,Costa Rica,Male,30 to 34,Self-harm,Percent,2019,0.11377428697656033,0.1423584294534641,0.09124166925465807
Deaths,Costa Rica,Female,30 to 34,Self-harm,Percent,2019,0.052558099052599234,0.06814956305289437,0.039511112126535214
Deaths,Costa Rica,Male,30 to 34,Self-harm,Rate,2019,21.788641987347777,28.881781178702624,16.110995803207473
Deaths,Costa Rica,Female,30 to 34,Self-harm,Rate,2019,3.1468624309883926,4.47439795302639,2.039467896750319
Deaths,Costa Rica,Male,35 to 39,Self-harm,Number,2019,33.774241861370236,45.16943643955769,24.233992907415875
Deaths,Costa Rica,Female,35 to 39,Self-harm,Number,2019,6.160150436619826,8.647783308543813,3.8983348987344435
Deaths,Costa Rica,Male,35 to 39,Self-harm,Percent,2019,0.09726784542715013,0.1192929419441459,0.07638576831353802
Deaths,Costa Rica,Female,35 to 39,Self-harm,Percent,2019,0.0366203673553369,0.04675419934853631,0.027333792118706575
Deaths,Costa Rica,Male,35 to 39,Self-harm,Rate,2019,19.94448419580845,26.673614611397927,14.310742800006729
Deaths,Costa Rica,Female,35 to 39,Self-harm,Rate,2019,3.289417959556548,4.6177725719773655,2.0816460507252628
Deaths,Costa Rica,Male,40 to 44,Self-harm,Number,2019,30.800410230017356,41.45480404066299,21.416156911290322
Deaths,Costa Rica,Female,40 to 44,Self-harm,Number,2019,4.282347782825456,6.282456178904408,2.776248660070867
Deaths,Costa Rica,Male,40 to 44,Self-harm,Percent,2019,0.07956923849372918,0.09745506596263001,0.06331849905788789
Deaths,Costa Rica,Female,40 to 44,Self-harm,Percent,2019,0.02254055626338871,0.029106461847905992,0.016489133057257414
Deaths,Costa Rica,Male,40 to 44,Self-harm,Rate,2019,21.080582211878536,28.372719653092023,14.657761148614794
Deaths,Costa Rica,Female,40 to 44,Self-harm,Rate,2019,2.6502456315374694,3.888066286965932,1.7181558473422223
Deaths,Costa Rica,Male,45 to 49,Self-harm,Number,2019,26.495359350546295,37.92269554542595,18.00799399883971
Deaths,Costa Rica,Female,45 to 49,Self-harm,Number,2019,3.8804027563667973,5.60723489202033,2.5538518059586464
Deaths,Costa Rica,Male,45 to 49,Self-harm,Percent,2019,0.05728474536236138,0.07206264403373042,0.04418497303187407
Deaths,Costa Rica,Female,45 to 49,Self-harm,Percent,2019,0.015403869624882499,0.01991215887268778,0.01127504931225195
Deaths,Costa Rica,Male,45 to 49,Self-harm,Rate,2019,20.48976480387675,29.32691352377456,13.926195781837624
Deaths,Costa Rica,Female,45 to 49,Self-harm,Rate,2019,2.716065021029238,3.924750988778927,1.7875535078609128
Deaths,Costa Rica,Male,50 to 54,Self-harm,Number,2019,25.730938647600105,36.88765067010845,17.513326110296973
Deaths,Costa Rica,Female,50 to 54,Self-harm,Number,2019,2.98207572434259,4.291306534984016,1.975641785325197
Deaths,Costa Rica,Male,50 to 54,Self-harm,Percent,2019,0.03785734345034659,0.046697440531429685,0.030307311001296657
Deaths,Costa Rica,Female,50 to 54,Self-harm,Percent,2019,0.00812496607546067,0.010631988613243269,0.0060314493800950105
Deaths,Costa Rica,Male,50 to 54,Self-harm,Rate,2019,20.0200205997237,28.700528045441633,13.62628679426457
Deaths,Costa Rica,Female,50 to 54,Self-harm,Rate,2019,2.0845278061513333,2.99970511274161,1.3810112878380127
Deaths,Costa Rica,Male,55 to 59,Self-harm,Number,2019,25.203321325779154,36.37448072332091,16.71559595662197
Deaths,Costa Rica,Female,55 to 59,Self-harm,Number,2019,2.9999680882651267,4.243950441422232,1.9953942101116484
Deaths,Costa Rica,Male,55 to 59,Self-harm,Percent,2019,0.027564585949250566,0.03432288783331721,0.021424060761940804
Deaths,Costa Rica,Female,55 to 59,Self-harm,Percent,2019,0.005741106701215343,0.007610806264370344,0.004169195440829003
Deaths,Costa Rica,Male,55 to 59,Self-harm,Rate,2019,21.578896444304707,31.14356011249375,14.311769051797086
Deaths,Costa Rica,Female,55 to 59,Self-harm,Rate,2019,2.253126188501512,3.187419199449139,1.498640925139574
Deaths,Costa Rica,Male,60 to 64,Self-harm,Number,2019,18.426507325968945,25.863440460036003,12.477588498440474
Deaths,Costa Rica,Female,60 to 64,Self-harm,Number,2019,2.1335196671912513,3.076890073547205,1.4267889413123123
Deaths,Costa Rica,Male,60 to 64,Self-harm,Percent,2019,0.016544295158018037,0.02067709381861428,0.012779397651265552
Deaths,Costa Rica,Female,60 to 64,Self-harm,Percent,2019,0.002934136284144009,0.003896879164653015,0.00214183692850498
Deaths,Costa Rica,Male,60 to 64,Self-harm,Rate,2019,19.397844046010395,27.226808404976598,13.13533332613342
Deaths,Costa Rica,Female,60 to 64,Self-harm,Rate,2019,1.9636600758682368,2.8319243024434275,1.3131955256047523
Deaths,Costa Rica,Male,65 to 69,Self-harm,Number,2019,12.758535710790486,17.70363099068742,8.877877599895111
Deaths,Costa Rica,Female,65 to 69,Self-harm,Number,2019,1.6082386157307538,2.2629879954982357,1.0760334111666052
Deaths,Costa Rica,Male,65 to 69,Self-harm,Percent,2019,0.010446562199043732,0.012946521640182779,0.00813770890919862
Deaths,Costa Rica,Female,65 to 69,Self-harm,Percent,2019,0.0019376238450073545,0.0025573260777080656,0.001414840574906713
Deaths,Costa Rica,Male,65 to 69,Self-harm,Rate,2019,17.914895787782616,24.858550499277715,12.465870349392643
Deaths,Costa Rica,Female,65 to 69,Self-harm,Rate,2019,1.961362117633221,2.759875856489236,1.3122997727615584
Deaths,Costa Rica,Male,70 to 74,Self-harm,Number,2019,7.65807726898096,10.542230907544477,5.332145957635123
Deaths,Costa Rica,Female,70 to 74,Self-harm,Number,2019,0.9173091938669644,1.2840196248403566,0.6342102951533799
Deaths,Costa Rica,Male,70 to 74,Self-harm,Percent,2019,0.005758552497373587,0.007308423678943358,0.004525131786279917
Deaths,Costa Rica,Female,70 to 74,Self-harm,Percent,2019,0.0009364499732670344,0.0012376113275294571,0.000693440571507548
Deaths,Costa Rica,Male,70 to 74,Self-harm,Rate,2019,14.851824034456477,20.445257062585586,10.340989089990366
Deaths,Costa Rica,Female,70 to 74,Self-harm,Rate,2019,1.5504200757514413,2.1702276803954534,1.0719312315064982
Deaths,Costa Rica,Male,75 to 79,Self-harm,Number,2019,4.983423165429096,6.879077542062996,3.431425880533439
Deaths,Costa Rica,Female,75 to 79,Self-harm,Number,2019,0.5988658743789228,0.8229428085770568,0.4202598169272404
Deaths,Costa Rica,Male,75 to 79,Self-harm,Percent,2019,0.0034151572635789875,0.0044423752899447255,0.002586701691584743
Deaths,Costa Rica,Female,75 to 79,Self-harm,Percent,2019,0.000523375490623028,0.0007014888897614304,0.0003877601383405143
Deaths,Costa Rica,Male,75 to 79,Self-harm,Rate,2019,14.362727722059523,19.82619465290339,9.889715158533296
Deaths,Costa Rica,Female,75 to 79,Self-harm,Rate,2019,1.4717035620751973,2.022369139038133,1.032781956745034
Deaths,Costa Rica,Male,80 to 84,Self-harm,Number,2019,3.7236042325768617,5.154765497410091,2.5484473986932485
Deaths,Costa Rica,Female,80 to 84,Self-harm,Number,2019,0.5598614337891787,0.766483523843625,0.39360822597007
Deaths,Costa Rica,Male,80 to 84,Self-harm,Percent,2019,0.0024923390723593517,0.0033014080891460486,0.0018577096797130488
Deaths,Costa Rica,Female,80 to 84,Self-harm,Percent,2019,0.0004162969843040633,0.0005538009339334724,0.0003022548031764004
Deaths,Costa Rica,Male,80 to 84,Self-harm,Rate,2019,16.525653132615172,22.877261188206393,11.31021319856413
Deaths,Costa Rica,Female,80 to 84,Self-harm,Rate,2019,1.9922799573245162,2.7275494792308717,1.4006640434774442
Deaths,Costa Rica,Male,85 to 89,Self-harm,Number,2019,1.860775543849147,2.510604113253661,1.2716463106894977
Deaths,Costa Rica,Female,85 to 89,Self-harm,Number,2019,0.3680344626457241,0.5207579822597692,0.2510205780687362
Deaths,Costa Rica,Male,85 to 89,Self-harm,Percent,2019,0.0013960913149910195,0.0018459202483702042,0.0010145222983298904
Deaths,Costa Rica,Female,85 to 89,Self-harm,Percent,2019,0.0002567326640677625,0.0003466316492531334,0.00018848243692119528
Deaths,Costa Rica,Male,85 to 89,Self-harm,Rate,2019,14.597351606534067,19.695105681669215,9.97576971475469
Deaths,Costa Rica,Female,85 to 89,Self-harm,Rate,2019,2.100940288082066,2.9727689559416492,1.4329615813992969
Deaths,Dominica,Male,10 to 14,Self-harm,Number,2019,0.013198723231754422,0.02345882388212654,0.00692197579046111
Deaths,Dominica,Female,10 to 14,Self-harm,Number,2019,0.009691781295686708,0.016551481550412302,0.005203262962744494
Deaths,Dominica,Male,10 to 14,Self-harm,Percent,2019,0.008968755646660954,0.015183537508629904,0.004958240943773678
Deaths,Dominica,Female,10 to 14,Self-harm,Percent,2019,0.006877621929415454,0.011372495871356483,0.003803520003518943
Deaths,Dominica,Male,10 to 14,Self-harm,Rate,2019,0.47309224612205003,0.8408531254808057,0.2481098373540489
Deaths,Dominica,Female,10 to 14,Self-harm,Rate,2019,0.3634720596097207,0.6207322374678484,0.19513860745097586
Deaths,Dominica,Male,15 to 19,Self-harm,Number,2019,0.12094071617666309,0.19929442495022026,0.06848375577435363
Deaths,Dominica,Female,15 to 19,Self-harm,Number,2019,0.044236122703164946,0.07656183214964975,0.02471787191909221
Deaths,Dominica,Male,15 to 19,Self-harm,Percent,2019,0.03689524927223256,0.05685746949927403,0.022505023041810804
Deaths,Dominica,Female,15 to 19,Self-harm,Percent,2019,0.023179891584149303,0.03831144195482391,0.013242299062793046
Deaths,Dominica,Male,15 to 19,Self-harm,Rate,2019,4.073425484737646,6.712470499782024,2.3066133960568553
Deaths,Dominica,Female,15 to 19,Self-harm,Rate,2019,1.588940756757124,2.7500650617797553,0.8878543532419026
Deaths,Dominica,Male,20 to 24,Self-harm,Number,2019,0.22667384367457669,0.34464823291051516,0.13163906338062215
Deaths,Dominica,Female,20 to 24,Self-harm,Number,2019,0.05788661949935647,0.09693606483088205,0.030853970324580544
Deaths,Dominica,Male,20 to 24,Self-harm,Percent,2019,0.054470566669273586,0.08096527676165882,0.03465565094438157
Deaths,Dominica,Female,20 to 24,Self-harm,Percent,2019,0.023241260707942503,0.03617198779188266,0.013874422895709906
Deaths,Dominica,Male,20 to 24,Self-harm,Rate,2019,8.259276694253531,12.557889660529636,4.796510398411167
Deaths,Dominica,Female,20 to 24,Self-harm,Rate,2019,2.2719975403790684,3.8046530057302435,1.210990472317267
Deaths,Dominica,Male,25 to 29,Self-harm,Number,2019,0.3501622082975619,0.5061394205435004,0.21557945067383952
Deaths,Dominica,Female,25 to 29,Self-harm,Number,2019,0.04776407091440132,0.07890399459160544,0.02667637472764671
Deaths,Dominica,Male,25 to 29,Self-harm,Percent,2019,0.06448387372447469,0.0910839578849475,0.04049314867390947
Deaths,Dominica,Female,25 to 29,Self-harm,Percent,2019,0.018614113652535205,0.028316971692575972,0.011356817736081992
Deaths,Dominica,Male,25 to 29,Self-harm,Rate,2019,13.38232245744924,19.34338079220642,8.238906586017169
Deaths,Dominica,Female,25 to 29,Self-harm,Rate,2019,1.9049343802855745,3.146861839075308,1.063911479638009
Deaths,Dominica,Male,30 to 34,Self-harm,Number,2019,0.3318056455057225,0.4937415169207274,0.20409146228483216
Deaths,Dominica,Female,30 to 34,Self-harm,Number,2019,0.05024449424264875,0.07895784513807735,0.029430628242188422
Deaths,Dominica,Male,30 to 34,Self-harm,Percent,2019,0.057294645595821064,0.08323741582337718,0.03668212289907856
Deaths,Dominica,Female,30 to 34,Self-harm,Percent,2019,0.014466875790169108,0.02176193627806123,0.009309146616558073
Deaths,Dominica,Male,30 to 34,Self-harm,Rate,2019,12.946402955062622,19.26482180240473,7.963246997802628
Deaths,Dominica,Female,30 to 34,Self-harm,Rate,2019,1.9830436392693833,3.1162987095723373,1.1615644861210335
Deaths,Dominica,Male,35 to 39,Self-harm,Number,2019,0.3215313646449209,0.47841274388646254,0.19893142916709483
Deaths,Dominica,Female,35 to 39,Self-harm,Number,2019,0.03579643298877193,0.05586122594924431,0.021311595618647948
Deaths,Dominica,Male,35 to 39,Self-harm,Percent,2019,0.04409004410153287,0.062627348678899,0.02895816507330051
Deaths,Dominica,Female,35 to 39,Self-harm,Percent,2019,0.009876973025223886,0.014876754397595358,0.00628162888915819
Deaths,Dominica,Male,35 to 39,Self-harm,Rate,2019,13.978584812410102,20.799007036654178,8.648549287056644
Deaths,Dominica,Female,35 to 39,Self-harm,Rate,2019,1.6157609369276986,2.5214352169109095,0.9619518155625103
Deaths,Dominica,Male,40 to 44,Self-harm,Number,2019,0.2016611486007414,0.29610292421639095,0.13266269752468957
Deaths,Dominica,Female,40 to 44,Self-harm,Number,2019,0.02969781091168178,0.047647794955575355,0.01737269270406864
Deaths,Dominica,Male,40 to 44,Self-harm,Percent,2019,0.027999134547915566,0.039339964288874485,0.019303439774435816
Deaths,Dominica,Female,40 to 44,Self-harm,Percent,2019,0.006349663757467203,0.009458395444649742,0.004075390489555213
Deaths,Dominica,Male,40 to 44,Self-harm,Rate,2019,10.043298060700694,14.746766767842132,6.606979192679956
Deaths,Dominica,Female,40 to 44,Self-harm,Rate,2019,1.5742691111296123,2.525790605747781,0.9209195109530484
Deaths,Dominica,Male,45 to 49,Self-harm,Number,2019,0.1944661024484383,0.3002012101928715,0.12384828385901743
Deaths,Dominica,Female,45 to 49,Self-harm,Number,2019,0.03482879649786516,0.05347451668559964,0.021124651943063393
Deaths,Dominica,Male,45 to 49,Self-harm,Percent,2019,0.019547517531802613,0.028386634024704517,0.01312725881160029
Deaths,Dominica,Female,45 to 49,Self-harm,Percent,2019,0.004258974719838231,0.006216514494214297,0.002750314122263385
Deaths,Dominica,Male,45 to 49,Self-harm,Rate,2019,8.818406904826054,13.613151040057836,5.616117913520643
Deaths,Dominica,Female,45 to 49,Self-harm,Rate,2019,1.6720647553798091,2.5672105743430214,1.0141546517642936
Deaths,Dominica,Male,50 to 54,Self-harm,Number,2019,0.27803182627494066,0.4145185205630883,0.17588664329002612
Deaths,Dominica,Female,50 to 54,Self-harm,Number,2019,0.02343380477122159,0.03514193707544918,0.014152866541346143
Deaths,Dominica,Male,50 to 54,Self-harm,Percent,2019,0.013777341527962731,0.019790110836392743,0.009305251297352969
Deaths,Dominica,Female,50 to 54,Self-harm,Percent,2019,0.002623050606433245,0.003870145110304745,0.001700982860011817
Deaths,Dominica,Male,50 to 54,Self-harm,Rate,2019,11.599432446828448,17.293630163318387,7.337955745845325
Deaths,Dominica,Female,50 to 54,Self-harm,Rate,2019,1.0599212861164218,1.5894852545402856,0.6401403721328224
Deaths,Dominica,Male,55 to 59,Self-harm,Number,2019,0.2641824874529963,0.3933730932851209,0.17058872411754028
Deaths,Dominica,Female,55 to 59,Self-harm,Number,2019,0.02126309015576405,0.032594507783674155,0.013030534824357454
Deaths,Dominica,Male,55 to 59,Self-harm,Percent,2019,0.009258677850738544,0.013044082239060244,0.0063839036239430455
Deaths,Dominica,Female,55 to 59,Self-harm,Percent,2019,0.0017716989151048239,0.0026022230125307202,0.0011549052914708606
Deaths,Dominica,Male,55 to 59,Self-harm,Rate,2019,11.996203296437844,17.862590529345866,7.746225097369734
Deaths,Dominica,Female,55 to 59,Self-harm,Rate,2019,1.109262825201362,1.7004055160987457,0.6797830309360355
Deaths,Dominica,Male,60 to 64,Self-harm,Number,2019,0.22183602981689438,0.33503555785952926,0.13550907862449504
Deaths,Dominica,Female,60 to 64,Self-harm,Number,2019,0.02474024607487099,0.035740335710994046,0.015436228822823727
Deaths,Dominica,Male,60 to 64,Self-harm,Percent,2019,0.006565557116653532,0.00927457482996025,0.004404248138957075
Deaths,Dominica,Female,60 to 64,Self-harm,Percent,2019,0.0012727469533394906,0.0018019834768932938,0.0008351744223451136
Deaths,Dominica,Male,60 to 64,Self-harm,Rate,2019,11.771775462387527,17.77873216669767,7.1908176863751665
Deaths,Dominica,Female,60 to 64,Self-harm,Rate,2019,1.57416895836518,2.274081141615763,0.9821742343861378
Deaths,Dominica,Male,65 to 69,Self-harm,Number,2019,0.1958420481649185,0.28907025297950767,0.12419420354947576
Deaths,Dominica,Female,65 to 69,Self-harm,Number,2019,0.02402765037502311,0.0381726231872913,0.014536495780588783
Deaths,Dominica,Male,65 to 69,Self-harm,Percent,2019,0.0048552614419956446,0.00692709370355834,0.003204741400239364
Deaths,Dominica,Female,65 to 69,Self-harm,Percent,2019,0.0009617293200533876,0.0014388807030170992,0.0006182211657101168
Deaths,Dominica,Male,65 to 69,Self-harm,Rate,2019,14.650368727635557,21.6244970578249,9.290603794659326
Deaths,Dominica,Female,65 to 69,Self-harm,Rate,2019,1.8788550509295523,2.984928811733795,1.1366891099999654
Deaths,Dominica,Male,70 to 74,Self-harm,Number,2019,0.1748033365964262,0.25955804981989505,0.10593144263114412
Deaths,Dominica,Female,70 to 74,Self-harm,Number,2019,0.018540084899958356,0.026742495172374568,0.012065575887106179
Deaths,Dominica,Male,70 to 74,Self-harm,Percent,2019,0.003907018269713624,0.005569428233380979,0.002488533023622091
Deaths,Dominica,Female,70 to 74,Self-harm,Percent,2019,0.0006264869941204012,0.000889652141397068,0.00042099714051588646
Deaths,Dominica,Male,70 to 74,Self-harm,Rate,2019,19.738742746639453,29.3092207103733,11.961748188502806
Deaths,Dominica,Female,70 to 74,Self-harm,Rate,2019,1.8816404556980977,2.7141062769763304,1.2245400079330513
Deaths,Dominica,Male,75 to 79,Self-harm,Number,2019,0.15725779644164734,0.2301477741058244,0.10045136684061591
Deaths,Dominica,Female,75 to 79,Self-harm,Number,2019,0.018859233806200186,0.028063955357879002,0.011611505592479487
Deaths,Dominica,Male,75 to 79,Self-harm,Percent,2019,0.0030809712457641547,0.004295920461111387,0.002010652036055039
Deaths,Dominica,Female,75 to 79,Self-harm,Percent,2019,0.0004212523828696786,0.000615287895650979,0.0002693317530217005
Deaths,Dominica,Male,75 to 79,Self-harm,Rate,2019,21.445062376160728,31.384983658125673,13.698435794036785
Deaths,Dominica,Female,75 to 79,Self-harm,Rate,2019,2.3221092395083764,3.45547283115271,1.4297073093200297
Deaths,Dominica,Male,80 to 84,Self-harm,Number,2019,0.15494164989007464,0.22559778206971567,0.0992147124258319
Deaths,Dominica,Female,80 to 84,Self-harm,Number,2019,0.015394817977417834,0.02381934556608973,0.009416609925126163
Deaths,Dominica,Male,80 to 84,Self-harm,Percent,2019,0.0026029706279328425,0.0038188873769596475,0.001721705530869543
Deaths,Dominica,Female,80 to 84,Self-harm,Percent,2019,0.00026686501472422176,0.00040028795207805044,0.00016422394733945473
Deaths,Dominica,Male,80 to 84,Self-harm,Rate,2019,29.878385638881202,43.50345782904332,19.13220519474799
Deaths,Dominica,Female,80 to 84,Self-harm,Rate,2019,2.424583946614056,3.751392381716258,1.4830549662541017
Deaths,Dominica,Male,85 to 89,Self-harm,Number,2019,0.08490294568326126,0.12425542036469886,0.05343317767462194
Deaths,Dominica,Female,85 to 89,Self-harm,Number,2019,0.010548537421384577,0.016068538795599156,0.006455375044720169
Deaths,Dominica,Male,85 to 89,Self-harm,Percent,2019,0.002174082621801464,0.003170123742997246,0.0013861179397469101
Deaths,Dominica,Female,85 to 89,Self-harm,Percent,2019,0.00020706926560440283,0.0003209235067441433,0.0001249073672780239
Deaths,Dominica,Male,85 to 89,Self-harm,Rate,2019,38.9806203438854,57.048119213384744,24.53222789786494
Deaths,Dominica,Female,85 to 89,Self-harm,Rate,2019,2.8514591922360113,4.343614742421625,1.7450038593295532
Deaths,Gabon,Male,10 to 14,Self-harm,Number,2019,1.5519547422967321,2.965006219598606,0.7697143279226792
Deaths,Gabon,Female,10 to 14,Self-harm,Number,2019,0.29785471776657413,0.5341520047624624,0.1351398772413325
Deaths,Gabon,Male,10 to 14,Self-harm,Percent,2019,0.026168704696326008,0.05010345626290288,0.013063738388215038
Deaths,Gabon,Female,10 to 14,Self-harm,Percent,2019,0.008091210444946794,0.014536045567636423,0.0036296747501337484
Deaths,Gabon,Male,10 to 14,Self-harm,Rate,2019,1.7122048539350314,3.271163715529039,0.8491926810070402
Deaths,Gabon,Female,10 to 14,Self-harm,Rate,2019,0.3097386295761644,0.5554637884572479,0.14053173537652366
Deaths,Gabon,Male,15 to 19,Self-harm,Number,2019,5.472925630068972,8.870822954194908,3.005536191952636
Deaths,Gabon,Female,15 to 19,Self-harm,Number,2019,1.0518014395699116,1.8406430505889075,0.49264876562701615
Deaths,Gabon,Male,15 to 19,Self-harm,Percent,2019,0.04269652681924795,0.06750676249177329,0.02465335064576279
Deaths,Gabon,Female,15 to 19,Self-harm,Percent,2019,0.015808783200818768,0.027522222836601874,0.007838754065812815
Deaths,Gabon,Male,15 to 19,Self-harm,Rate,2019,6.4567781644207045,10.465505987583795,3.5458330275778622
Deaths,Gabon,Female,15 to 19,Self-harm,Rate,2019,1.1333786569348443,1.983402446592916,0.5308583686244747
Deaths,Gabon,Male,20 to 24,Self-harm,Number,2019,11.202276267270268,19.86997856801388,5.408876077537588
Deaths,Gabon,Female,20 to 24,Self-harm,Number,2019,1.1709418683275161,2.0864552084539265,0.5360057805422499
Deaths,Gabon,Male,20 to 24,Self-harm,Percent,2019,0.06715468765608973,0.11520222961414735,0.03601607789577417
Deaths,Gabon,Female,20 to 24,Self-harm,Percent,2019,0.012285758810535442,0.02152753064963799,0.0062439928664994645
Deaths,Gabon,Male,20 to 24,Self-harm,Rate,2019,14.202000318440739,25.190723315298822,6.857254538529053
Deaths,Gabon,Female,20 to 24,Self-harm,Rate,2019,1.3243272230124126,2.3597665323029613,0.6062188619816027
Deaths,Gabon,Male,25 to 29,Self-harm,Number,2019,12.838646302193727,24.44703311250868,5.896682930502186
Deaths,Gabon,Female,25 to 29,Self-harm,Number,2019,1.2617826131680066,2.3238505552690865,0.6204732536059853
Deaths,Gabon,Male,25 to 29,Self-harm,Percent,2019,0.07851444354131953,0.1366050627757932,0.038031902343545254
Deaths,Gabon,Female,25 to 29,Self-harm,Percent,2019,0.009536209859451679,0.017467966702048972,0.0042764310843569344
Deaths,Gabon,Male,25 to 29,Self-harm,Rate,2019,17.83864311473812,33.96790351905811,8.193139672367431
Deaths,Gabon,Female,25 to 29,Self-harm,Rate,2019,1.5556073034355709,2.864993429250924,0.7649596014582141
Deaths,Gabon,Male,30 to 34,Self-harm,Number,2019,10.78158893587139,20.456200590367146,5.121423563595205
Deaths,Gabon,Female,30 to 34,Self-harm,Number,2019,1.3328682290014093,2.322031106746244,0.6515449807391978
Deaths,Gabon,Male,30 to 34,Self-harm,Percent,2019,0.05958141200429943,0.10236202543953674,0.030630697150077418
Deaths,Gabon,Female,30 to 34,Self-harm,Percent,2019,0.007595272670404213,0.012769562678972815,0.0037622823352330722
Deaths,Gabon,Male,30 to 34,Self-harm,Rate,2019,17.18305447393644,32.60187446996562,8.162219928879678
Deaths,Gabon,Female,30 to 34,Self-harm,Rate,2019,1.9169199406899076,3.3395257194771273,0.9370465426812049
Deaths,Gabon,Male,35 to 39,Self-harm,Number,2019,10.627312137174357,18.73698689852607,5.42839060239052
Deaths,Gabon,Female,35 to 39,Self-harm,Number,2019,1.5588797581794547,2.733183930419793,0.8410111439236231
Deaths,Gabon,Male,35 to 39,Self-harm,Percent,2019,0.046767129770723566,0.0739033353786678,0.02675390833915586
Deaths,Gabon,Female,35 to 39,Self-harm,Percent,2019,0.0071623601228480846,0.012013743454851162,0.0037331872272275374
Deaths,Gabon,Male,35 to 39,Self-harm,Rate,2019,19.5057231531585,34.39049069506139,9.963449166704349
Deaths,Gabon,Female,35 to 39,Self-harm,Rate,2019,2.6252041830069452,4.602770578947645,1.4162901028121466
Deaths,Gabon,Male,40 to 44,Self-harm,Number,2019,11.013932173594185,18.47328500424746,6.351921532575136
Deaths,Gabon,Female,40 to 44,Self-harm,Number,2019,1.610864630836214,2.7342948188471894,0.8653849985810356
Deaths,Gabon,Male,40 to 44,Self-harm,Percent,2019,0.03733169483682323,0.054896604961851767,0.02385680265180825
Deaths,Gabon,Female,40 to 44,Self-harm,Percent,2019,0.006413493048428209,0.01032132071992193,0.003563714917531958
Deaths,Gabon,Male,40 to 44,Self-harm,Rate,2019,23.74061230855431,39.819302537810245,13.691613870726622
Deaths,Gabon,Female,40 to 44,Self-harm,Rate,2019,3.205647789250455,5.441292814683241,1.7221307454691173
Deaths,Gabon,Male,45 to 49,Self-harm,Number,2019,12.460752694002787,20.516813122597288,7.0640251061727986
Deaths,Gabon,Female,45 to 49,Self-harm,Number,2019,2.0557843502121282,3.5276566721362816,1.0672308022482373
Deaths,Gabon,Male,45 to 49,Self-harm,Percent,2019,0.033014332173308465,0.0500332701024251,0.02059253360045785
Deaths,Gabon,Female,45 to 49,Self-harm,Percent,2019,0.0071854959712259504,0.011268540953304634,0.004235806760934543
Deaths,Gabon,Male,45 to 49,Self-harm,Rate,2019,31.13606021809801,51.26598244551506,17.65109351651039
